127.0.0.1, 2013-09-29 09:05:52, GET, /, HTTP/1.1, 303, 0.000858
127.0.0.1, 2013-09-29 09:05:52, HEAD, /, HTTP/1.1, 303, 0.000349
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/default/index, HTTP/1.1, 200, 6.429069
127.0.0.1, 2013-09-29 09:05:59, HEAD, /welcome/default/index, HTTP/1.1, 200, 6.538894
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000914
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002496
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000858
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001914
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002359
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000398
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001447
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001412
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000950
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000984
127.0.0.1, 2013-09-29 09:05:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000265
127.0.0.1, 2013-09-29 09:06:00, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000253
127.0.0.1, 2013-09-29 09:06:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2013-09-29 09:06:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000394
127.0.0.1, 2013-09-29 09:06:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000249
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/default/index, HTTP/1.1, 200, 1.598128
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000610
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000666
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001284
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000290
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000455
127.0.0.1, 2013-09-29 09:06:05, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000301
127.0.0.1, 2013-09-29 09:06:06, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000257
127.0.0.1, 2013-09-29 09:06:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2013-09-29 09:06:12, GET, /, HTTP/1.1, 303, 0.000513
127.0.0.1, 2013-09-29 09:06:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.021097
127.0.0.1, 2013-09-29 09:06:54, POST, /admin/default/index, HTTP/1.1, 303, 0.036235
127.0.0.1, 2013-09-29 09:06:54, GET, /admin/default/site, HTTP/1.1, 200, 0.033660
127.0.0.1, 2013-09-29 09:06:54, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000248
